task,system,variant,label,precision,recall,f1_score,support,variant_order
topic,tfidf_char_svm_only,no_accent,macro avg,0.348312,0.350866,0.295702,3166,5
topic,tfidf_char_svm_only,no_accent,others,0.075437,0.515723,0.131621,159,5
topic,tfidf_char_svm_only,no_accent,training_program,0.253259,0.237762,0.245266,572,5
topic,tfidf_char_svm_only,no_accent,weighted avg,0.625973,0.436197,0.499572,3166,5
topic,tfidf_char_svm_only,mixed_no_accent,accuracy,,,0.432091,3166,6
topic,tfidf_char_svm_only,mixed_no_accent,facility,0.3,0.165517,0.213333,145,6
topic,tfidf_char_svm_only,mixed_no_accent,lecturer,0.779637,0.48821,0.60043,2290,6
topic,tfidf_char_svm_only,mixed_no_accent,macro avg,0.354265,0.359841,0.300282,3166,6
topic,tfidf_char_svm_only,mixed_no_accent,others,0.077199,0.540881,0.135114,159,6
topic,tfidf_char_svm_only,mixed_no_accent,training_program,0.260223,0.244755,0.252252,572,6
topic,tfidf_char_svm_only,mixed_no_accent,weighted avg,0.628551,0.432091,0.496427,3166,6
